id	title	abstract
590242804	“Fearless” exploration of creative methodology in research	Drawing upon experiences from using photo elicitation in a recent PRAXIS funded project, this session will be an interactive workshop allowing the participants, academics, and researchers to think about creative qualitative approaches that could aid in better understanding of ideas and concepts for participants with diverse characteristics. Whilst these methods have the power to engage different groups, they can also create different barriers to participation which require careful thought and planning.  The academics and researchers have to engage in a “fearless exploration” and pursuit of qualitative methodology that can interface and bridge the gaps created by discipline training, overcoming researcher bias, and fear of losing control in methodology and research. The creative qualitative methods in research can aid in creating even playing field for research to find meaningful, easy, and stress-free ways of engaging with the participants. The one-hour session will be divided into three parts. 1.	Past-Creative Research technique and barriers to creative confidence (15 minutes)- Sharing use of Photo elicitation technique and its powerful use with Neurodivergent students – Share the pictures and the narratives from the research. (Bhandari and Rainford, 2023).Barriers to break to be creatively confident- Fear of the unknown, fear of judgement, fear of first step and fear of losing control (Rainford, 2022)2.	Present -Building creative confidence in a group (15 minutes) – Through practical exploration of elicitation techniques using existing photos, object-based methods, and participant imagery we will explore how to demonstrate and think about difficult concepts, creating creative spaces for their students, and making the research and teaching more impactful. 3.	Future-Way forward with the qualitative creative methods (15 minutes) – Group discussion of the potential advantages, disadvantages, and possible impact of elicitation methods as a useful tool to use with flexibility and participation with diverse participants. 4.	 Questions. (15 mins)References. Bhandari, R. and Rainford, J., (2023). Exploring the Transitions of Neurodivergent Access Students to Level One Study: Narratives of Study Skills and Support. International Journal of Educational and Life Transitions, 2(1), p.5.DOI: https://doi.org/10.5334/ijelt.38Braun, V., & Clarke, V. (2022). Toward good practice in thematic analysis: Avoiding common problems and be(com)ing a knowing researcher, International Journal of Transgender Health. DOI: https://doi.org/10.1080/26895269.2022.2129597  Rainford, J(2022)Blog Post The role of creative confidence in creative research methods — Dr. Jon Rainford (Accessed 19/9/23)Vincent, J., Potts, M., Fletcher, D., Hodges, S., Howells, J., Mitchell, A., Mallon, B., & Ledger, T. (2017). ‘I think autism is like running on windows while everyone else is a mac’: using a participatory action research approach with students on the autistic spectrum to rearticulate autism and the lived experience of university. Educational Action Research, 25(2), 300–315. DOI: https://doi.org/10.1080/09650792.2016.1153978  Vincent, J., Potts, M., Fletcher, D., Hodges, S., Howells, J., Mitchell, A., Mallon, B., & Ledger, T. (2017). ‘I think autism is like running on windows while everyone else is a mac’: using a participatory action research approach with students on the autistic spectrum to rearticulate autism and the lived experience of university. Educational Action Research, 25(2), 300–315. DOI: https://doi.org/10.1080/09650792.2016.115397
478547462	Stimulus specificity of cortico-cortical connections optimizes information transmission	Neurons in visual cortex receive most inputs from other cortical neurons with similar stimulus preference. To understand the role of this arrangement in information transmission we use a computational model to quantify the information about external stimuli that a typical cortical neuron receives through its cortico-cortical synapses. We find that efficient readout of the information encoded by an afferent population with orientation tuning similar to that observed in area V1 requires the spread of orientation preferences of excitatory cortical afferents to take a value in agreement with experiments. We suggest that the organization of V1 cortico-cortical synapses allows efficient information transmission
564341549	ChatGPT and the Future of Legal Education and Practice	The launch of ChatGPT, a natural language open-source AI platform, in November 2022 has taken the world by storm and artificial intelligence appears to be at a watershed moment in technological advancement. This article explores the emergence of ChatGPT and considers the implications for legal education and practice. It will examine how Law Schools can develop strategies for assessments to make them more challenging for generative AI while educating students on its potential in the workplace. All legal educators are now on a journey to navigate the complexities of open-source AI technology and comprehend its implications. We cannot ignore or underestimate the potential impact on both legal education and legal practice, and we must consider new methods to incorporate AI technology into our teaching
590242797	Improved QE in CMOS image sensors with nano-black antireflection layer	A novel anti-reflection process is demonstrated which improves the quantum efficiency (QE) of a CMOS image sensor, with particular benefits at the ultraviolet (UV) and near infrared (NIR) ends of the electromagnetic spectrum. Also, the dark current and photoresponse non-uniformity (PRNU) were reduced to about 33% and 55%, respectively, of the values for a conventional control sensor. The nano-black anti-reflection layer was made using a reactive-ion-etch technique to form nano-scale spikes at the surface which greatly reduce the reflectivity of the surface, which has a matt-black appearance. The sensor used, a CIS115 from Teledyne-e2v, is a back-sideilluminated (BSI) device with ≈10 µm active silicon thickness and 2000 X 1504 pinned photodiode pixels with a pitch of 7 µm. The improved QE is most impressive at UV wavelengths, below 400 nm, where the QE increases towards 100%, although no correction was made for an increased electron generation rate, as this is not easily quantified. This high QE result is compared with a conventional antireflection (AR) coating which shows a steep drop in QE below 400 nm. There is also an improvement in QE in the NIR (from 700 nm to 1100 nm) for the nano-black sensor, and this is despite the approx. 1 µm thinning of the silicon by the etching process, which would normally reduce the QE. Some of the QE improvement may be the result of increased scattering of the incident light, which is supported by the reduced PRNU
477971419	The stochastic Burgers equation with vorticity: Semiclassical asymptotic series solutions with applications	We consider a stochastic Burgers type equation which incorporates a vector potential. The solution of this equation is not of gradient form and so this equation can be described as a stochastic Burgers equation with vorticity. Building on previous work on the standard stochastic Burgers equation, we discuss the related Hamilton-Jacobi theory in detail and show how to find semiclassical series expansions for our stochastic Burgers equation with vorticity. We examine the behaviour of the solution in the inviscid limit and discuss the geometric structure of the resulting singularities. We illustrate these results with an example of a Burgers type fluid in a rotating bucket under a harmonic oscillator potential. We conclude with a discussion of the relationship between the correspondence limit of Nelson's stochastic mechanics and stationary state solutions for Burgers equations and illustrate an example of the equations studied in this paper arising from considerations of the Coulomb potential
541053463	In Search of the Lost City: The Enduring Absence of Pompeii	Soon after the eruption of Vesuvius in 79 CE, Pompeii seemed to have vanished. The buried city maintained a presence in the region’s collective memory primarily as an overwhelming absence, repressed even in the near-contemporary poetry that ruminated on its demise. In such texts, the name of Pompeii is conspicuous by its absence, and the shock over the swallowing up of this solid ancestral ground is keenly felt. This chapter argues that Martial, Statius, and others initiate the trope of Pompeii as an absent presence that continues to characterize our responses to the site today, even in the face of the apparently abundant materiality of the site. By following Pompeii’s disappearing act from these Latin authors through a variety of more recent engagements with the city – from the subterranean journey to the site in Jacopo Sannazaro’s Arcadia (1504), to the sci-fi dislocation of the city in Amelie Nothomb’s novella, Péplum (1996), and the recent video installation Soleil Noir (2014), in which Pompeii becomes a post-human landscape – we can observe Pompeii’s importance as a locus for understanding the absences that permeate Roman culture, and our modern receptions of it
591806949	Validation of Chinese version of the 5-item WHO well-being index in type 2 diabetes mellitus patients	Background: For better disease management and improved prognosis, early identification of co-morbid depression in diabetic patients is warranted. the WHO-5 well-being index (WHO-5) has been used to screen for depression in diabetic patients, and its Chinese version (WHO-5-C) has been validated. However, its psychometric properties remain to be further validated in the type 2 diabetes patient population. The aim of our study was to examine the reliability and validity of the WHO-5-C in patients with type 2 diabetes mellitus. Methods: The cross-sectional study was conducted on 200 patients from July 2014 to March 2015. All patients should complete the WHO-5-C, the Patient Health Questionnaire-9 (PHQ-9), the 20-item Problem Areas in Diabetes Scale (PAID-20), the Mini International Neuropsychiatric Interview (M.I.N.I), and Hamilton Rating Scale for Depression (HAM-D). Internal consistency of WHO-5 was revealed by Cronbach’s alpha, and constructive validity by confirmatory factor analysis (CFA). Relationship with PHQ-9, HAM-D, and PAID-20 was examined for concurrent validity, and ROC analysis was performed for criterion validity. Results: The WHO-5-C presented satisfactory reliability (Cronbach’s alpha = 0.88). CFA confirmed the unidimensional factor structure of WHO-5-C. The WHO-5-C had significant negative correlation with HAM-D (r = -0.610), PHQ-9 (r = -0.694) and PAID-20 (r = -0.466), confirming good concurrent validity. Using M.I.N.I as the gold standard, the cut-off value of WHO-5-C was 42, with a sensitivity of 0.83 and specificity of 0.75. Conclusion: The WHO-5-C holds satisfactory reliability and validity that is suitable for depression screening in type 2 diabetes patients as a short and convenient instrument
478547507	Mapping Disagreement around Smart City devices	This paper is a preliminary report of a longterm participant-actor ethnography following a Smart City mobile phone app that is part of a EU research project. The study uses an actor-network theory approach to follow the app and via interviews with the app designer and observations of the EU research project, argues that these technologies are surprising human/machine hybrids whose main qualities are their affective affordances which enrol large numbers of users. The paper tracks a number of contradictory framings and uncovers ontological disagreement about what the app is sensing. Smart City technologies have not been black boxed yet, and are still at the stage of performing as affective hybrids that need to enrol actors. This means that the networks around Smart Cities are still malleable and it is still possible to critique existing tools and to develop new models and forms of agency for Smart City technologies
591806945	La enseñanza del español a personas refugiadas y desplazadas. Revisión de alcance [Teaching Spanish to refugees and displaced persons. A scoping review.]	En los últimos años, se ha producido un aumento en la oferta de cursos de español dirigidos a personas refugiadas y desplazadas, lo que a su vez ha generado un crecimiento en las investigaciones sobre la enseñanza del español a estos colectivos. Con el objetivo de contribuir a un mejor conocimiento de la enseñanza y el aprendizaje del español en estos contextos, este artículo ofrece una revisión de alcance sobre las experiencias de enseñanza de español a personas inmigrantes, refugiadas y solicitantes de asilo, el perfil del alumnado y del profesorado y el tipo de materiales que se utilizan conforme se reportan en la investigación especializada. Los resultados destacan el papel de las organizaciones no gubernamentales en la enseñanza del español a estos colectivos e indican problemas como la ausencia de un currículum especializado, el absentismo o la falta de investigaciones que analicen la adquisición del español por quienes se incorporan a la enseñanza reglada. [In recent years, there has been an increase in Spanish courses for refugees and displaced persons, leading to a growth in research on the teaching of Spanish to these groups. With the aim of contributing to a better understanding of the teaching and learning of Spanish in these contexts, this article provides a scoping review of the teaching experiences reported by specialized research, also examining the students’ and teachers’ profiles and the types of materials used. Results highlight the role of non-governmental organizations and charities in teaching Spanish to these groups and point out issues such as the lack of a specialized curriculum, learners’ absenteeism, and the shortage of research analyzing the acquisition of Spanish by those entering formal education.
541053472	[Book Review] Music, Dance, and Drama in Early Modern English Schools	None
564341486	Innovations in cancer nursing education across Europe.	With 2.7 million people in the European Union diagnosed with cancer, 1.3 million people dying from cancer in 2020 and, without intervention, the mortality rates attributed to cancer projected to increase by 24% by 2035, there have been powerful mandates at European level to tackle the burden of cancer across Europe and at national level ( European Commission, 2021a , European Commission, 2021b ). Nurses play an important role caring for people affected by cancer as members of multi-disciplinary teams and playing a pivotal role in delivering, leading, developing cancer care and services at clinical and strategic levels ( Mitema et al., 2019 ; European Oncology Nursing Society, 2022 ). However, nursing and cancer care face challenges arising from workforce shortages, under-investment in services, variable education opportunities and under representation in decision-making. In response, Drury et al., 2023 set out an agenda for innovation and disruption across education, policy, research, profession and practice to ensure the sustainability of cancer care services and care for people living with, and after cancer. These authors argue for partnership, exchange of learning and co-design for the continued advancement of cancer nursing, with a critical focus on identifying and addressing inequities in role recognition and access to specialist cancer nursing education throughout Europe
564341485	I think…that all teachers should do this so they can learn new stuff like us [Blogpost]	None
590688426	Wearable Technologies to Support Lower Limb Rehabilitation and Clinical Practice: user requirements, design and evaluation	The widespread adoption of wearable technologies in healthcare has the potential to bring about significant improvements. However, these technologies face design challenges when applied in real world settings and must be tailored to specific contexts of use and the needs of a diverse user base. This thesis investigates these issues in two distinct yet related areas of healthcare: neurorehabilitation and clinical movement analysis.In neurorehabilitation, the research builds on previous work that demonstrated the effectiveness of wearable rhythmic haptic metronomes in improving and measuring the gait of individuals with neurological conditions in laboratory settings. This study takes this approach into the community and care home settings, using a technology probe method to identify the real-life requirements and design considerations of potential end-users and clinicians. This process identified a range of physical, sensory, and cognitive issues that are relevant to the design of the haptic metronomes, including haptic perception ability, wearability, interaction techniques, and individual preferences for body placement.The second part of the thesis initially focused on the potential of active cueing for musculoskeletal conditions, but formative discussions with specialist physiotherapists and orthopaedic surgeons suggested that wearable clinical movement analysis would be a more suitable focus. Currently, proprietary systems for objectively assessing lower limb movements are either poorly suited or too expensive. To address this gap, non-proprietary software called MoJoXlab, paired with low-cost wearable inertial sensors was validated against high-end commercial software to perform clinical movement analysis. The results of these tests were compared across a range of activities, including walking, squatting, and jumping. MoJoXlab was further validated with a different sensor system, and limitations and nuances of supporting multiple sensor systems were identified.Overall, this thesis highlights the importance of considering the needs and preferences of diverse users and the specific conditions and contexts in which wearable technologies will be used to effectively design and implement these technologies in healthcare
591806906	Construction and Characterisation of CDR20291 ΔPaLoc Model Strains for the Study of Binary Toxin Regulation in Clostridium difficile.	Clostridium difficile is a Gram-positive, spore forming, anaerobic bacterium and is the leading cause of hospital-associated diarrhoea in the developed world. The two large monoglycosylating toxins A and B have long been recognised as the major virulence factors of C. difficile infection (CDI). The genes encoding these toxins reside on a conserved locus referred to as the PaLoc. So-called hyprevirulent or epidemic strains of C. difficile produce a third toxin in addition to A and B, the binary toxin, or CDT, from a different chromosomal locus. Initially the relevance of binary toxin to CDI was unknown but recent advances suggest that CDT plays a major role in C. difficile virulence.The Kuehne group seeks to further investigate the relevance of CDT to C. difficile virulence, and to unravel the molecular mechanisms regulating the production of binary toxin. In order to accomplish this effectively, it is necessary to be able to quantify binary toxin production without interference from the main virulence factors, Toxin A and B. This is best achieved by the construction of PaLoc-minus mutants of a hypervirulent strain such as CDR20291.In this study we have deleted the entire 18.42Kb PaLoc by two-step allelic exchange in CDR20291 ΔpyrE and CDR20291 ΔpyrEΔcdtR backgrounds. Supernatants collected from cultured mutants contained no detectable toxin A/B as determined by ELISA and did not induce cell-rounding in the Vero cell culture model without prior CDT activation.To our knowledge, this is the first published description of a clean in-frame ΔPaLoc mutant of C. difficile
591441735	Collecting Stories of Identity and Culture with Young people: The Synallactic Collective Image Technique	The leader of an arts-based workshop, Evangelia, has asked the young people involved to consider a time they translated or interpreted and to think about how they were feeling. One young man named Tariq looks unsure and mumbles, ‘I don’t got feelings’ and then asks the question more loudly: ‘do you have feelings when you translate, do you have feelings?’. A couple of his friends smile but no one replies. Throughout the workshop he casts sideways looks at the others’ drawings. In the end, with a black pen he draws an oval face, with two round circles for eyes that are blank in the middle. The face has a little bit of hair, a line for a nose and a round circle for the mouth. The only bit of colour is a red tongue in the mouth. It is a stark face, for its lack of detail. For his story Tariq writes: ‘don’t have any story about translating, mean I do but don’t really remember them’, and ‘don’t have any feelings while I am translating’, and on the back of his drawing he writes ‘#Nofeelings’ and, a little further down the page, ‘Concern’. This excerpt is drawn from an arts-based workshop which was part of an Arts and Humanities Research Council-funded project, based at the Thomas Coram Research Unit (TCRU) between 2014–17. The project focused on child language brokers; children and young people who translate and interpret for family members, peers and the local community. In this chapter, we focus on one of our arts-based workshops that employed the Synallactic Collective Image Technique (SCIT), a technique used for sharing personal and collective stories, memories and experiences. In this instance, we brought together a group of young language brokers (aged 13–16) who took part in a SCIT workshop. Through sharing individual drawings and narratives of personal experiences of language brokering, interpersonal transactions within the group unfold
478547503	Turning Controversies into Questions of Design: Prototyping Alternative Metrics for Heathrow Airport	None
564341466	Beliefs of fun in learning and attitudes to inclusive education	A significant proportion of teachers are concerned about their capacity to satisfy the educational requirements of students with disabilities in general education classrooms. Fun in learning also has a good effect on the implementation of inclusion, as does the attitude of the teachers. There needs to be more data to support the differing perspectives on inclusive education held by general and special education teachers. This study's objective is to examine the outlook on inclusive education held by general and special education instructors in Indonesia and the link between their belief in fun teaching and learning. The Multidimensional Attitudes toward Inclusive Education Scales (MATIES) will be used to investigate attitudes about inclusive education. It comprises of 18 questions that are aimed at assessing the emotional, cognitive, and behavioral aspects of attitudes toward inclusion in an efficient way. The ten-item questionnaire has been devised to assess the fun of teaching and learning. Validity and dependability were used in the development of the instruments, whereas the Bivariate Correlate test was utilized to analyze the data. The highest subscale mean of teachers’ attitudes towards inclusion on the 1 to 6 scale is a behavioral scale which has a mean of approximately 4,82 (SD=0,79), and the mean for teachers belief about fun in learning is 3,27 from range 1 to 4 and SD=0,29 which is a high level of belief of fun in teaching
591441790	A Device for Prehabilitation of Total Knee Replacement Surgery (Slider): Usability Study	Background: Rehabilitation, or “prehabilitation,” is essential in preparing for and recovering from knee replacement surgery. The recent demand for these services has surpassed available resources, a situation further strained by the COVID-19 pandemic, which has led to a pivot toward digital solutions such as web- or app-based videos and wearables. These solutions, however, face challenges with user engagement, calibration requirements, and skin contact issues. This study evaluated the practicality of a low-contact, gamified device designed to assist with prehabilitation exercises.Objective: The study aimed to assess the practicality and user-friendliness of a newly designed physiotherapy device (Slider) that enables exercise monitoring without the need for direct contact with the skin.Methods: A total of 17 patients awaiting knee replacement surgery at a UK National Health Service (NHS) hospital participated in this study. They used the device over a 2-week period and subsequently provided feedback through a usability and acceptability questionnaire.Results:The study was completed by all participants, with a majority (13/17, 76%) finding the device intuitive and easy to use. The majority of patients were satisfied with the device’s ability to meet their presurgery physiotherapy requirements (16/17, 94%) and expressed a willingness to continue using it (17/17, 100%). No safety issues or adverse effects were reported by the participants.Conclusions: The results indicate that the device was found to be a feasible option for patients to conduct presurgery physiotherapy exercises independently, away from a clinical setting. Further research involving a larger and more diverse group of participants is recommended to validate these findings more robustly
492011049	Long-term floristic and climatic stability of northern Indochina: Evidence from the Oligocene Ha Long flora, Vietnam	The antiquity of the tropical Asian flora is being revealed by recent detailed work on a number of Cenozoic plant megafossil sites, some of which have been radiometrically dated for the first time, but our knowledge of how the highly diverse modern biota came into being remains poor due to a sparsity of records. In this paper, we describe fossil plant assemblages from the Oligocene Dong Ho Formation of the Ha Long region, northern Vietnam. The Oligocene Ha Long megafossil flora has so far yielded 38 species, including conifers and angiosperms mainly belonging to Fagaceae, Lauraceae and Dipterocarpaceae, all with significant tropical Asian kinship. The Ha Long flora is similar to other Paleogene floras from southern China, especially those from the Pan Gulf of Tonkin region. The Ha Long floral composition is typical of a tropical-subtropical ecotone and the vegetation is reconstructed as a lowland tropical evergreen forest mixed with calcicole (limestone-loving) taxa. These taxa and the vegetation type they comprise still exist in this area. Palaeoclimate reconstruction made using both the Coexistence Approach and the Climate Leaf Analysis Multivariate Program indicate a mean annual temperature of ~20 °C, a coldest month mean temperature around 10 °C, and yearly precipitation averaging almost 2000 mm. These results suggest a warm and humid peripheral tropical environment. Floristic and climatic comparison within the Ha Long and other southern China palaeofloras reveals a long-term environmental, floristic and vegetational stability in this region since the Paleogene. This long-maintained plant diversity also provided a source for populating the East Asian flora and vegetation after the late Paleogene East Asian arid belt retreat
479004898	Techno-Legal Supertoys: Smart Contracts and the Fetishization of Legal Certainty	Smart Legal Contracts: Computable Law in Theory and Practice is a landmark investigation into one of the most important trends at the interface of law and technology: the effort to harness emerging digital technologies to change the way that parties form and perform contracts. While developments in distributed ledger technology have brought the topic of 'smart contracts' into the mainstream of legal attention, this volume takes a broader approach to ask how computers can be used in the contracting process.This book assesses how contractual promises are expressed in software and how code-based artefacts can be incorporated within more conventional legal structures. With incisive contributions from members of the judiciary, legal scholars, practitioners, and computer scientists, this book sets out to frame the borders of an emerging area of law and start a more productive dialogue between the various disciplines involved in the evolution of contracts as software. It provides the first step towards a more disciplined approach to computational contracts that avoids the techno-legal ambiguities of 'smart contracts' and reveals an emerging taxonomy of approaches to encoding contracts in whole or in part. Conceived and written during a time when major legal systems began to engage with the advent of contracts in computable form, and aimed at a fundamental level of enquiry, this collection will provide essential insight into future trends and will provide a point of orientation for future scholarship and innovation
565843280	The Implications of Large Language Models for CS Teachers and Student	The introduction of Large Language Models (LLMs) has generated a significant amount of excitement both in industry and among researchers. Recently, tools that leverage LLMs have made their way into the classroom where they help students generate code and help instructors generate learning materials. There are likely many more uses of these tools -- both beneficial to learning and possibly detrimental to learning. To help ensure that these tools are used to enhance learning, educators need to not only be familiar with these tools, but with their use and potential misuse. The goal of this BoF is to raise awareness about LLMs and to build a learning community around their use in computing education. Aligned with this goal of building an inclusive learning community, our BoF is led by globally distributed discussion leaders, including undergraduate researchers, to facilitate multiple coordinated discussions that can lead to a broader conversation about the role of LLMs in CS education
