doi	title	abstract	labels
10.1093/wber/lhw030	The short-run impact of import bans on poverty: The case of Nigeria (2008-2012)		['SDG01']
10.1108/ijse-04-2017-0171	Poverty and technical efficiency in presence of heterogeneity in household behaviours: Evidence from Bangladesh	PurposeThe purpose of this paper is to investigate the relationship between poverty and technical efficiency (TE) of paddy farmers in presence of their heterogeneous selling behaviours. This paper explains how such behavioural heterogeneity affects this relationship in south-western Bangladesh.Design/methodology/approachTranslog production frontier model was used to estimate TE since it fitted the data set better. On the other hand, poverty indices were constructed by using P-αmethod. Then, multinomial logit models examined the existence of heterogeneous selling behaviours. It revealed adequate evidences in favour of behavioural heterogeneity. Finally, the authors employed a series of two stage instrumental variable regression models to relate poverty and TE with and without considering the behavioural heterogeneity.FindingsThe study finds that around 18, 39 and 44 per cent of households exhibit autarkic, non-wholesaling and wholesaling behaviour, respectively. Market failure due to transaction cost and credit constraints leads to emergence of such heterogeneity. Across these heterogeneous behaviours, impact of improving TE on poverty status significantly differs. Without controlling behavioural heterogeneity, TE significantly improves the poverty status of the rural farm households. However, scenario is changed after controlling this heterogeneity. After behavioural segregations, TE improves poverty status only for wholesalers. In contrary to prior expectation, it worsens the poverty situation for both autarkic and non-wholesaling households. Simultaneous failure in both credit and product market for these households might be the plausible reason behind this heterodox finding. Credit market failure compels these households to borrow from local money lenders with costlier terms. This effort might improve their TE. But, product market failure makes their additional production due to improved TE unsold. Thus, repayment of credit directly reduces their consumption expenditure. Therefore, an effort to improve TE might increase prevalence and depth of poverty when market failure exists. Henceforth, the improvement of TE appears as an effective policy instrument only when households exhibit wholesaling behaviour.Originality/valueThe earlier studies show the relationship between TE and poverty status but did not account behavioural heterogeneity. The authors attempt to overcome this shortcoming and show how market failure induced behavioural heterogeneity affects the effectiveness of TE on improving poverty status of farm households.</jats:sec	['SDG01']
10.1080/08985626.2018.1447241	Special issue: Business, entrepreneurship and innovation toward poverty reduction		['SDG01']
10.3390/nu10081008	The effects of alcohol and drugs of abuse on maternal nutritional profile during pregnancy	The consumption of alcohol and drugs of abuse among pregnant women has experienced a significant increase in the last decades. Suitable maternal nutritional status is crucial to maintain the optimal environment for fetal development but if consumption of alcohol or drugs of abuse disrupt the intake of nutrients, the potential teratogenic effects of these substances increase. Despite evidence of the importance of nutrition in addicted pregnant women, there is a lack of information on the effects of alcohol and drugs of abuse on maternal nutritional status; so, the focus of this review was to provide an overview on the nutritional status of addicted mothers and fetuses. Alcohol and drugs consumption can interfere with the absorption of nutrients, impairing the quality and quantity of proper nutrient and energy intake, resulting in malnutrition especially of micronutrients (vitamins, omega&ndash;3, folic acid, zinc, choline, iron, copper, selenium). When maternal nutritional status is compromised by alcohol and drugs of abuse the supply of essential nutrients are not available for the fetus; this can result in fetal abnormalities like Intrauterine Growth Restriction (IUGR) or Fetal Alcohol Spectrum Disorder (FASD). It is critical to find a strategy to reduce fetal physical and neurological impairment as a result of prenatal alcohol and drugs of abuse exposure combined with poor maternal nutrition. Prenatal nutrition interventions and target therapy are required that may reverse the development of such abnormalities	['SDG02']
10.1097/tin.0b013e3181d10899	Food consumption patterns of children in dominican schools		['SDG02']
10.17660/actahortic.2010.851.9	Forty years of papaya research at Pusa, Bihar, India		['SDG02']
10.1177/1049732310361465	Identifying cultural representations of families and the health team to improve the management of severe malnutrition in childhood	Severe childhood malnutrition is no longer a priority in Latin America, but mortality of hospitalized malnourished children continues to be high, especially in Bolivia. The objective of the present study was to identify cultural representations in mothers and in health personnel that might influence the relationship between the family and the provider’s health care services, thus affecting the treatment of malnourished children. We applied a flexible qualitative model of cases and controls (mothers or caregivers of both under- and well-nourished children), and in addition, health personnel. Results were analyzed following semiotics of statements. Mothers and health professionals based their cultural representations on different conceptions of health. The mothers’ mindset indicated that traditional Andean medicine and public health systems are complementary and not contradictory. Conversely, health personnel expressed a univocal vision, accepting only biomedicine. Furthermore, they also expressed a negative attitude toward mothers of severely malnourished children. Results should be considered to improve ongoing local health programs. </jats:p	['SDG02']
10.1007/s00253-010-2483-9	Marine yeasts as biocontrol agents and producers of bio-products		['SDG02']
10.2993/0278-0771-30.1.137	The prevalence of wild food knowledge among nomadic Turkana of Northern Kenya		['SDG02']
10.4103/0022-3859.65270	Editorial: Severe acute malnutrition: Time for urgent action		['SDG02']
10.1111/j.1365-277x.2009.01038.x	Comparison of a food frequency questionnaire with an online dietary assessment tool for assessing preschool children's dietary intake		['SDG02']
10.1017/s0954422410000065	Breast- v. formula-feeding: Impacts on the digestive tract and immediate and long-term health effects	The health benefits of breast-feeding have been recognised for a long time. In particular, breast-feeding is associated with lower incidence of necrotising enterocolitis and diarrhoea during the early period of life and with lower incidence of inflammatory bowel diseases, type 2 diabetes and obesity later in life. The higher nutritional and protective degree of human milk is related to its nutritional composition that changes over the lactation period and to the biological activities of specific components while lower growth rate of breast-fed infants may be attributed to their self-regulation of milk intake at a lower level than formula-fed infants. Many results now suggest that the developmental changes in intestinal and pancreatic function that occur postnatally are modulated by the diet. Indeed, formula-feeding induces intestinal hypertrophy and accelerates maturation of hydrolysis capacities; it increases intestinal permeability and bacterial translocation, but does not induce evident differences in microbiota composition. Whether these changes would be beneficial for enhancing absorptive capacities and for educating the gut-associated immune system remains to be further studied. Moreover, it is evident that formula-feeding increases basal blood glucose and decreases plasma ketone body concentrations, while discrepancies on postprandial glycaemia, insulin and incretin responses in both human studies and experimental studies are inconclusive. Manipulating the composition of formula, by reducing protein content, adding prebiotics, growth factors or secretory IgA can modulate intestinal and pancreatic function development, and thereby may reduce the differential responses between breast-fed and formula-fed neonates. However, the developmental responses of the digestive tract to different feeding strategies must be elucidated in terms of sensitivity to developing diseases, taking into account the major role of the intestinal microbiota.</jats:p	['SDG02']
10.1016/j.clnu.2010.04.003	Intake of energy providing liquids during the first year of life in five European countries		['SDG02']
10.1097/mlr.0b013e3181ef984e	Disparities in public use data availability for race, ethnic, and immigrant groups: National surveys for healthcare disparities research		['SDG02']
10.1177/1403494810382476	Construction and evaluation of a self-contained index for assessment of diet quality	Aims: To construct and validate a self-contained index for the evaluation of a health-promoting diet in adults. Methods: Participants (n = 103) were healthy volunteer adults aged 20 to 64 years. A food consumption questionnaire containing 55 questions was formulated and evaluated against seven-day food records. Key questions best reflecting the health-promoting diet, defined in nutrition recommendations, were identified by correlation and ROC analyses in comparison to calculated food and nutrient intakes from the food records. A shorter questionnaire was scored to compile an Index of Diet Quality (IDQ). Results: Based on ROC analyses 18 questions were sufficient to describe the health-promoting diet and comprised the index. IDQ had a sensitivity of 67% and a specificity of 71%. The IDQ score reflected dietary intake, shown as statistically significant correlations between higher IDQ scores and higher intakes of protein (r = 0.35), fibre (r = 0.42), calcium (r = 0.39), iron (r = 0.31), vitamin C (r = 0.31) and a higher ratio of unsaturated to saturated fatty acids (r = 0.23) and a lower intake of saturated fatty acids (r =—0.22) and saccharose (r =—0.25). Conclusions: IDQ reflects dietary intake of key foods and nutrients associated with health and depicts adherence to dietary recommendations. It is applicable in nutritional studies where diet in its entirety is of interest and also in large-scale studies, being fast in execution with analysis free of complex calculations. </jats:p	['SDG02']
10.1016/j.biochi.2010.04.016	Complex links between dietary lipids, endogenous endotoxins and metabolic inflammation	International audienceMetabolic diseases such as obesity are characterized by a subclinical inflammatory state that contributes to the development of insulin resistance and atherosclerosis. Recent reports also indicate that (i) there are alterations of the intestinal microbiota in metabolic diseases and (ii) absorption of endogenous endotoxins (namely lipopolysaccharides, LPS) can occur, particularly during the digestion of lipids. The aim of the present review is to highlight recently gained knowledge regarding the links between high fat diets, lipid digestion, intestinal microbiota and metabolic endotoxemia & inflammation	['SDG02']
10.1097/mpg.0b013e3181e67058	Direct medical costs of constipation from childhood to early adulthood: A population-based birth cohort study		['SDG02']
10.1158/1940-6207.capr-10-0398	Helicobacter pylori prevalence and circulating micronutrient levels in a low-income United States population	Abstract                High prevalence of Helicobacter pylori (H. pylori), the leading cause of gastric cancer, and low levels of micronutrients have been observed in many developing countries, and the question remains as to the whether an association between the 2 exists. The present study seeks to further our understanding of this potential connection in the Southern Community Cohort Study, representing a low-income population in the United States. Blood levels of antibodies to H. pylori proteins were assessed by multiplex serology for a sample of 310 African American and white participants, ages 40 to 79 years. Blood collected at baseline was also assayed for levels of carotenoids, tocopherols, retinol, and folate. Multivariate linear regression was used to calculate least-squares mean micronutrient levels within groups defined by H. pylori status. The mean serum levels of all micronutrients assayed were lower among H. pylori + individuals than H. pylori − individuals, significantly for β-carotene, folate, and retinol (decreases of 27.6%, 18.6%, and 9.7%, respectively). Individuals who were seropositive to the virulent CagA+ H. pylori strains had even lower mean levels of micronutrients, particularly β-carotene, folate, total carotenoids, and retinol (decreases of 38.9%, 19.1%, 17.0%, and 11.7%, respectively, compared with H. pylori − individuals). However, dietary micronutrient levels as derived from a food frequency questionnaire did not vary between groups defined by H. pylori status. These results provide support for the hypothesis that H. pylori infection impairs nutrient absorption and suggest a need for future studies to explore the role of H. pylori infection on nutrition and gastric cancer risk in this high-risk population. Cancer Prev Res; 4(6); 871–8. ©2011 AACR.</jats:p	['SDG02']
10.1111/j.1467-7717.2011.01230.x	Severe drought and the vitamin A status of rural pre-school children in India		['SDG02']
10.1111/j.1753-6405.2010.00630.x	The future of public health nutrition: A critical policy analysis of Eat Well Australia		['SDG02']
10.1016/j.tifs.2011.05.006	Probiotics intake and metabolic syndrome: A proposal		['SDG02']
10.3945/ajcn.110.008995	Fat mass modifies the association of fat-free mass with symptom-limited treadmill duration in the Coronary Artery Risk Development in Young Adults (CARDIA) Study	Background: The assessment of fat mass and fat-free mass in relation to the symptom-limited maximal exercise duration (Max(dur)) of a treadmill test allows for insight into the association of body composition with treadmill performance potential. Objective: We investigated the complex associations between fat mass and fat-free mass and Max(dur) in a population setting. Design: The Max(dur) of a graded exercise treadmill test and body composition by dual-energy X-ray absorptiometry were estimated in 2413 black and white men and women aged 38–50 y from the Coronary Artery Risk Development in Young Adults (CARDIA) cohort. Results: The mean Max(dur) was ≈7.5 s shorter per kilogram of fat mass in both men and women and independent of fat-free mass, height, race, television watching, physical activity, systolic blood pressure, lung function, and education. Fat mass modified the association of fat-free mass with the Max(dur) (2-way interaction P < 0.001), and the interaction was stronger in women than in men. In men in the lowest fat-mass quartile, the Max(dur) was 1.3 s longer per kilogram of fat-free mass and was 0.5 s shorter per kilogram of fat-free mass in the highest fat-mass quartile. In contrast, in women with the least fat mass, the Max(dur) was 2.7 s longer per kilogram of fat-free mass and was 2.8 s shorter per kilogram of fat-free mass in the highest fat-mass quartile. Conclusions: The Max(dur) was negatively related to fat mass. Fat-free mass in obese people contributed little to the treadmill performance potential as assessed by the Max(dur), although the contribution of fat-free mass was positive in thinner people	['SDG02']
10.3945/ajcn.110.005819	New frontiers in science and technology: Nuclear techniques in nutrition	The use of nuclear techniques in nutrition adds value by the increased specificity and sensitivity of measures compared with conventional techniques in a wide range of applications. This article provides a brief overview of well-established stable-isotope techniques to evaluate micronutrient bioavailability and assess human-milk intake in breastfed infants to monitor the transfer of micronutrients from the mother to the infant. Recent developments are highlighted in the use of nuclear techniques to evaluate biological interactions between food, nutrition, and health to move the agenda forward	['SDG02']
10.1093/ajae/aar026	How much does the supplemental nutrition assistance program reduce food insecurity?	Nearly 15% of all U.S. households and 40% of near-poor households were food insecure in 2009. The Supplemental Nutrition Assistance Program (SNAP) is the cornerstone of federal food assistance programs and serves as the first line of defense against food-related hardship. This paper measures the effectiveness of SNAP in reducing food insecurity using an instrumental variables approach to control for selection. Our results suggest that receipt of SNAP benefits reduces the likelihood of being food insecure by roughly 30% and reduces the likelihood of being very food insecure by 20%	['SDG02']
10.4414/smw.2011.13250	Diet and cancer	Large  claims have been made for the effectiveness of particular diets in preventing  cancer or inhibiting its progression. However, more recent clinical studies have  not confirmed this. Instead it seems that rather than specific dietary  constituents, total calories influence cancer incidence and progression. In  this review article, we summarise and interpret the available evidence for  links between diet and cancer	['SDG02']
10.1097/aog.0b013e3182339111	Apgar scores at 5 minutes after birth in relation to school performance at 16 years of age		['SDG02']
10.3390/ijms12117469	Development of a human Physiologically Based Pharmacokinetic (PBPK) toolkit for environmental pollutants		['SDG02']
10.1159/000325659	The knowns and unknowns of human milk banking		['SDG02']
10.1007/s12291-011-0145-z	Efficacy of a fish protein hydrolysate in malnourished children		['SDG02']
10.1093/tropej/fmq107	Acute malnutrition and under-5 mortality, Northeastern part of India		['SDG02']
10.1186/1758-5996-4-1	Ten-week lifestyle changing program reduces several indicators for metabolic syndrome in overweight adults	We aim to investigate the effectiveness of a 10-week lifestyle intervention focusing on physical activity and high fiber intake for reducing indicators for metabolic syndrome in overweight-obese individuals. A prospective study of 50 overweight (OW) adults (22 in the general educational group - G1; 28 in the high fiber nutrition group - G2) was performed. Both groups were offered dietary counseling and supervised exercise. Clinical, anthropometric, dietary and plasma biochemical tests were performed at baseline - time 0 (T0) and after 10 weeks - time 1 (T1). Both groups improved their dietary quality, but only G2 presented higher intake of fruit and vegetables (servings/day), higher plasma beta-carotene levels and a 24% reduction of MetS incidence. Additionally G2 showed greater reductions in body fat (4%), and waist circumference (7%), obesity class III (2%) and obesity class II (14%) rate. Lifestyle intervention, including a high dietary fiber intake, improved healthy eating index and decreased body fat composition and plasma lipid concentrations leading to MetS incidence reduction	['SDG02']
10.1016/j.jfca.2011.11.005	Carotenoid and retinol composition of South Asian foods commonly consumed in the UK		['SDG02']
10.3923/pjn.2012.343.349	Associations between maternal nutritional characteristics and the anthropometric indices of their full-term and pre-term newborns		['SDG02']
10.5433/1679-0359.2012v33n1p115	Mycorrhizal colonization, spore density and diversity of arbuscular mycorrhizal fungi in Cerrado soil under no-till and conventional tillage systems	The quest for sustainability in agricultural production through conservation management practices such as no-tillage, has favored the biochemical processes of soil, such as soil arbuscular mycorrhizal fungi (AMFs), which promote a significant increase in specific surface absorption of the root system of plants. The objective of this study was to evaluate the root colonization, spore density and diversity of AMFs in rhizosphere of corn and soybean grown under no-tillage with different cover crops and compared an area conventional tillage and fallow, in Uberaba, state of Minas Gerais. The corn and soybeans were rotated with millet, crotalaria and brachiaria. The experimental design was randomized blocks, with split plots. The experiment was established in 2000, and in 2007 assessed the colonization (COL) and spore density (ESP) (0.0-0.05m and 0.05-0.10m). In the layer of 0.0-0.10m evaluated the diversity of AMFs. It was found that there was a strong effect of culture on COL and ESP. However, the effect of the covers and management was seen only in 0.0-0.05m. The roots of corn has a higher percentages of COL and ESP compared with soybeans, for the coverage Brachiaria and millet. The mycorrhizal colonization of soybean and maize in Cerrado area was up 80% for soybeans and up 95% for corn. Conventional tillage soil the lowest number of AMFs species in relation to the coverage of millet and Brachiaria in no-till corn and soybeans. The principal components analysis  with some chemical, physical and biological factors of soil shows the separation of the areas assessed, and the biological component (COL and ESP) in the efficient separation of the areas under cultivation,  for the conditions of this study. A busca da sustentabilidade na produção agrícola através de manejos conservacionistas, como o sistema plantio direto, tem favorecido os processos bioquímicos do solo como dos fungos micorrízicos arbusculares (FMAs), os quais promovem um aumento expressivo da superfície específica de absorção do sistema radicular das plantas. Sendo assim, o objetivo deste trabalho foi avaliar a colonização micorrízica, densidade de esporos e a diversidade de FMAs na rizosfera de milho e soja cultivados sob plantio direto com diferentes plantas de cobertura e comparadas a uma área de preparo convencional e pousio, em Uberaba, MG. As culturas de milho e soja foram rotacionadas com milheto, crotalária e braquiária. O delineamento experimental foi em blocos casualizados, com parcelas subdivididas. O experimento foi implantado em 2000 e, em 2007 avaliou-se a colonização radicular por FMAs (COL) e densidade de esporos no solo (ESP) nas profundidades de 0,0-0,05 m e 0,05-0,10 m, já a avaliação da diversidade de FMAs foi na profundidade de 0,0-0,10 m. Verificou-se que houve efeito significativo das culturas sobre COL e ESP. Entretanto, o efeito das coberturas e do manejo foi verificado apenas em 0,0-0,05 m. As raízes de milho apresentam maiores porcentagens de COL e ESP quando comparado com a soja, para as coberturas de braquiária e milheto. A colonização micorrízica da soja e do milho na área de Cerrados foi  acima de 80% para soja e 95% para o milho. O sistema de preparo convencional do solo apresentou o menor número de espécies de FMAs em relação às coberturas de milheto e braquiária, em sistema plantio direto com milho e soja. A análise de componentes principais com algumas variáveis químicas, físicas e biológicas do solo evidencia a separação das áreas avaliadas, sendo as variáveis COL e ESP eficientes na separação das áreas em cultivo, para as condições do presente estudo	['SDG02']
10.1177/1403494812443605	Urbanisation and the nutrition transition: A comparison of diet and weight status of South African and Kenyan women	Aims: To determine and compare the extent of the nutrition transition between Kenyan and South African women. Methods: A nationally representative sample of women aged ≥15 years ( n=1008) was assessed in Kenya. Weight, height, and waist and hip circumferences were measured. A 24-hour dietary recall was conducted with each participant. This data was compared with data of the Demographic and Health Survey (DHS) of women in South Africa ( n=4481). Dietary intake of South African women was based on secondary data analysis of dietary studies using the 24-hour recall method ( n=1726). Results: In South Africa, 27.4% women had a BMI ≥30 kg/m2 compared with 14.2% of Kenyan women. In both countries there were large urban–rural differences in BMI, with the highest prevalence in women in urban areas. BMI increased with age, as did abdominal obesity which was equally prolific in both countries with more than 45% of women in the older groups having a waist/hip ratio ≥0.85. The nutrient mean adequacy ratio (MAR) of the South African rural diet was lower than those of the Kenyans diet (55.9; 57.3%, respectively). Dietary diversity score (DDS) and food variety score (FVS) were significantly lower in South African rural women (3.3; 4.9) compared with Kenyans (4.5; 6.8). Conclusions: Urban–rural differences in diet and weight status indicates that the nutrition transition was similar in both countries despite large sociodemographic differences; however, rural Kenyan women had a better MAR, DDS, and FVS than South African women, most probably due to 60% having access to land. </jats:p	['SDG02']
10.1016/j.fcr.2012.05.005	Capture and use of water and radiation in summer intercrops in the south-east Pampas of Argentina		['SDG02']
10.1007/s00404-011-2102-8	Ethnic disparity in spontaneous preterm birth and maternal pre-pregnancy body mass index		['SDG02']
10.1016/j.endonu.2012.02.002	In Utero Fetal Programming and Its Impact on Health in Adulthood	Adverse events during intrauterine life may program organ growth and favor disease later in life. This is the usually called 'Barker's hypothesis'. Increasing evidence suggests that conditions like vascular disease, hypertension, metabolic syndrome, and type 2 diabetes mellitus are programmed during the early stages of fetal development and become manifest in late stages of life, when there is an added impact of lifestyle and other conventional acquired environmental risk factors that interact with genetic factors. The aim of this review was to provide additional, updated evidence to support the association between intrauterine fetal health and increased prevalence of chronic non-communicable diseases in adulthood. Various potential cellular and molecular mechanisms proposed to be related to the above hypothesis are discussed, including endothelial function, oxidative stress, insulin resistance, and mitochondrial function. © 2011 SEEN	['SDG02']
10.1111/j.1475-2743.2012.00412.x	Soil nitrate distribution, N <inf>2</inf>O emission and crop performance after the application of N fertilizers to greenhouse vegetables		['SDG02']
10.1128/aem.01536-12	Changes in bowel microbiota induced by feeding weanlings resistant starch stimulate transcriptomic and physiological responses	ABSTRACT                        The ability to predictably engineer the composition of bowel microbial communities (microbiota) using dietary components is important because of the reported associations of altered microbiota composition with medical conditions. In a synecological study, weanling conventional Sprague-Dawley rats (21 days old) were fed a basal diet (BD) or a diet supplemented with resistant starch (RS) at 5%, 2.5%, or 1.25% for 28 days. Pyrosequencing of 16S rRNA genes and temporal temperature gradient electrophoresis (TTGE) profiles in the colonic digesta showed that rats fed RS had altered microbiota compositions due to blooms of             Bacteroidetes             and             Actinobacteria             . The altered microbiota was associated with changes in colonic short-chain fatty acid (SCFA) concentrations, colonic-tissue gene expression (             Gsta2             and             Ela1             ), and host physiology (serum metabolite profiles and colonic goblet cell numbers). Comparisons between germ-free and conventional rats showed that transcriptional and serum metabolite differences were mediated by the microbiota and were not the direct result of diet composition. Altered transcriptomic and physiological responses may reflect the young host's attempts to maintain homeostasis as a consequence of exposure to a new collection of bacteria and their associated biochemistry.           </jats:p	['SDG02']
10.4102/phcfm.v4i1.323	Body weight, eating practices and nutritional knowledge amongst university nursing students, Eastern Cape, South Africa		['SDG02']
10.1007/s12098-012-0687-y	Performance of WHO growth standards on Indian children with growth related disorders		['SDG02']
10.1016/j.foodpol.2012.09.002	Sit down at the ball game: How trade barriers make the world less food secure	This paper analyses the impacts of trade policy responses to rising world food prices by carrying out a series of stylised experiments in the wheat market using a world trade model, GTAP. The sequence of events that is modelled comprises a negative wheat supply shock and subsequent implementation of an export tax by a major net exporter and a reduction in import tariffs by a small importer. The effects of trade policy responses are contrasted with those of full liberalisation of the wheat market. At the core are the (opposite) effects on producers and consumers, as well as the terms of-trade and trade tax revenue effects. Food security is shown to depend crucially on changes in prices but also in incomes that are associated with changes in factor returns. The results reveal that major net exporters are generally better off when implementing export taxes for food security purposes. Large exporting countries export price instability causing world food prices to rise further. Net importing countries lose out and have limited leeway to reduce tariffs or subsidise imports. Liberalising wheat trade mitigates rising prices and contributes to food security, but to the detriment of production in Africa and Asia, making them more dependent on and vulnerable to changes in the world market. Concerted action at the WTO forum is required, notably clarifying and sharpening the rules regarding export measures	['SDG02']
10.1007/s10531-012-0418-8	Biodiversity conservation attitudes and policy tools for promoting biodiversity in tropical planted forests		['SDG02']
10.1007/s13193-011-0082-6	Early Detection of Breast, Cervical, Ovarian and Endometrial Cancers in Low Resource Countries: An Integrated Approach	The incidence of breast and gynecological cancers continues to increase in low and middle resource countries [LRC'S and MRC's] with a disproportionately higher mortality rate compared to that in high resource countries. This has been attributed to factors such as an increased life span due to better control of communicable diseases and improved nutrition, as well as lifestyle and reproductive changes. A lack of public awareness and understanding of these cancers, absence of an organized screening program and a lack of accessible and effective treatment options, is responsible for the higher mortality rate. A practical approach of a combined program of integrating a well woman examination with screening for breast and cervical cancer and diagnostic evaluation for Ovarian and Endometrial cancer in symptomatic women is proposed in this article which can serve as a model to be studied for efficacy in low resource countries	['SDG02']
10.1155/2012/913960	Experiences in developing and implementing health clubs to reduce hypertension risk among adults in a south african population in transition	Chronic noncommunicable diseases (NCDs) are increasing substantially as a cause of death and disability in all strata of the South African society, particularly among the urbanised poor. Hypertension is a risk factor for many of these diseases and becoming a burden in a growing population in a Cape Town township, Khayelitsha. To alleviate healthcare demands at clinics in this area, a health club was initiated and community health workers (CHWs) were trained to empower community members about NCDs and create public awareness. After training, a health club was initiated. Three months after initiation of the health club, 76 participants had been recruited of whom 22 were regular attenders. New members joined the health club weekly. Anthropometric and blood pressure measurements were taken, and various hypertension topics were covered at the club meetings which included healthy behaviours, such as the benefits of being physically active and eating healthy. Nutrition education sessions based on the South African food-based dietary guidelines were also held. Consequent to the initial group that was established, two more clubs were formed in the area. Health clubs are sustainable and culturally appropriate when facilitated by local people who have an insight and deeper understanding of the culture and environment of the people they serve.</jats:p	['SDG02']
10.1186/1475-2891-12-42	The prognostic significance of nutritional status using malnutrition universal screening tool in patients with pulmonary tuberculosis		['SDG02']
10.1007/s00442-012-2477-7	Introduced fire ants can exclude native ants from critical mutualist-provided resources		['SDG02']
10.1016/j.foodchem.2013.01.083	Sustainable diets: Harnessing the nutrition agenda		['SDG02']
10.17660/actahortic.2013.979.24	Some intervention strategies for promoting underutilised species: Case of local vegetables in Kitui District, Kenya		['SDG02']
10.1016/j.jand.2013.04.022	Dietary Intake of Phytonutrients in Relation to Fruit and Vegetable Consumption in Korea		['SDG02']
10.1016/j.gfs.2013.07.001	Reversing urban bias in African rice markets: A review of 19 national rice development strategies		['SDG02']
10.1016/j.gfs.2013.06.001	Market-based approaches for governments of food-importing countries to manage food security risks		['SDG02']
10.1002/hipo.22151	Iron deficiency with or without anemia impairs prepulse inhibition of the startle reflex	Iron deficiency (ID) during early life causes long-lasting detrimental cognitive sequelae, many of which are linked to alterations in hippocampus function, dopamine synthesis, and the modulation of dopaminergic circuitry by the hippocampus. These same features have been implicated in the origins of schizophrenia, a neuropsychiatric disorder with significant cognitive impairments. Deficits in sensorimotor gating represent a reliable endophenotype of schizophrenia that can be measured by prepulse inhibition (PPI) of the acoustic startle reflex. Using two rodent model systems, we investigated the influence of early-life ID on PPI in adulthood. To isolate the role of hippocampal iron in PPI, our mouse model utilized a timed (embryonic day 18.5), hippocampus-specific knockout of Slc11a2, a gene coding an important regulator of cellular iron uptake, the divalent metal transport type 1 protein (DMT-1). Our second model used a classic rat dietary-based global ID during gestation, a condition that closely mimics human gestational ID anemia (IDA). Both models exhibited impaired PPI in adulthood. Furthermore, our DMT-1 knockout model displayed reduced long-term potentiation (LTP) and elevated paired pulse facilitation (PPF), electrophysiological results consistent with previous findings in the IDA rat model. These results, in combination with previous findings demonstrating impaired hippocampus functioning and altered dopaminergic and glutamatergic neurotransmission, suggest that iron availability within the hippocampus is critical for the neurodevelopmental processes underlying sensorimotor gating. Ultimately, evidence of reduced PPI in both of our models may offer insights into the roles of fetal ID and the hippocampus in the pathophysiology of schizophrenia	['SDG02']
10.3945/an.112.003574	Innovations in food chemistry and processing to enhance the nutrient profile of the white potato in all forms		['SDG02']
